UNS #,Base,Grade Name,Li Min,Li Max,Be Min,Be Max,B Min,B Max,C Min,C Max,Na Min,Na Max,Mg Min,Mg Max,Al Min,Al Max,Si Min,Si Max,P Min,P Max,S Min,S Max,K Min,K Max,Ca Min,Ca Max,Sc Min,Sc Max,Ti Min,Ti Max,V Min,V Max,Cr Min,Cr Max,Mn Min,Mn Max,Fe Min,Fe Max,Co Min,Co Max,Ni Min,Ni Max,Cu Min,Cu Max,Zn Min,Zn Max,Ga Min,Ga Max,As Min,As Max,Se Min,Se Max,Sr Min,Sr Max,Y Min,Y Max,Zr Min,Zr Max,Nb Min,Nb Max,Mo Min,Mo Max,Ru Min,Ru Max,Rh Min,Rh Max,Pd Min,Pd Max,Ag Min,Ag Max,Cd Min,Cd Max,Sn Min,Sn Max,Sb Min,Sb Max,Hf Min,Hf Max,Ta Min,Ta Max,W Min,W Max,Re Min,Re Max,Pt Min,Pt Max,Au Min,Au Max,Hg Min,Hg Max,Pb Min,Pb Max,Bi Min,Bi Max,Te Min,Te Max
A91100,Aluminum,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.05,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A92011,Aluminum,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,5,6,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0,1,0,0
 ,Aluminum,2014,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0,100,0.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.1,0.4,1.2,0,0.7,0,0,0,0,3.5,5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A92018,Aluminum,2018,0,0,0,0,0,0,0,0,0,0,0.45,0.9,0,100,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,1,0,0,1.7,2.3,3.5,4.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A92024,Aluminum,2024,0,0,0,0,0,0,0,0,0,0,1.2,1.8,0,100,0.01,0.5,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.3,0.9,0,0.5,0,0,0,0,3.8,4.9,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A93003,Aluminum,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0,0.7,0,0,0,0,0.05,0.2,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A93005,Aluminum,3005,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0,100,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,1,1.5,0,0.7,0,0,0,0,0,0.3,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A93105,Aluminum,3105,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0,100,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0.3,0.7,0,0.7,0,0,0,0,0,0.3,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0319,Aluminum,319,0,0,0,0,0,0,0,0,0,0,0,0.1,0,100,5.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.5,0,1,0,0,0,0.35,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0333,Aluminum,333,0,0,0,0,0,0,0,0,0,0,0.05,0.5,0,100,8,10,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.05,0.5,0,1,0,0,0,0.5,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
